Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,36.459999,39.990002,36.330002,38.650002,8977300,38.650002
2016-09-01,36.529999,39.52,33.900002,36.610001,8072600,36.610001
2016-08-01,35.540001,37.349998,33.00,36.299999,8457300,36.299999
2016-07-01,28.26,36.740002,27.120001,35.50,12869000,35.394062
2016-06-01,31.940001,33.580002,24.85,28.309999,12972500,28.225517
2016-05-02,34.990002,35.169998,30.99,31.91,10195000,31.814775
2016-04-01,40.130001,41.759998,34.099998,34.689999,10685200,34.486774
2016-03-01,41.439999,43.779999,40.049999,41.009998,7825700,40.769753
2016-02-01,39.00,41.599998,34.759998,41.00,9491600,40.759811
2016-01-04,41.290001,42.740002,36.200001,38.990002,13582800,38.656116
2015-12-01,41.470001,46.490002,40.700001,42.349998,8064500,41.987339
2015-11-02,46.200001,47.09,40.450001,41.259998,7242300,40.906673
2015-10-01,38.50,46.77,37.419998,46.220001,10946800,45.72559
2015-09-01,38.630001,44.59,37.720001,38.830002,11318400,38.414642
2015-08-03,40.240002,44.450001,34.099998,38.98,10907100,38.563034
2015-07-01,40.650002,43.810001,37.799999,40.099998,11955100,39.578709
2015-06-01,42.610001,44.380001,38.450001,39.939999,14193300,39.420788
2015-05-01,48.650002,50.299999,41.32,42.369999,13496900,41.819199
2015-04-01,51.099998,53.470001,46.880001,48.290001,11670700,47.662243
2015-03-02,48.200001,56.049999,46.470001,52.779999,18416800,51.987297
2015-02-02,48.580002,52.200001,45.950001,47.900002,11458700,47.180592
2015-01-02,54.279999,56.200001,48.099998,49.080002,14763900,48.245129
2014-12-01,49.00,54.639999,46.049999,53.630001,14823800,52.717731
2014-11-03,41.439999,49.450001,41.43,48.529999,12863100,47.704483
2014-10-01,34.720001,41.75,28.10,41.349998,21160100,40.646618
2014-09-02,39.00,40.540001,34.34,35.48,10057100,34.789146
2014-08-01,38.75,41.00,35.23,38.880001,8836800,38.122944
2014-07-01,43.439999,44.00,37.900002,38.849998,12669700,38.093525
2014-06-02,40.00,44.880001,38.849998,42.959999,16475000,42.016991
2014-05-01,35.860001,40.330002,35.470001,40.16,9859400,39.278454
2014-04-01,36.950001,38.900002,31.860001,35.07,12536600,34.300182
2014-03-03,36.169998,39.880001,35.02,36.599998,9663500,35.796597
2014-02-03,33.950001,37.279999,33.049999,36.93,10815800,36.119354
2014-01-02,25.07,34.200001,25.059999,33.549999,14432500,32.813549
2013-12-02,23.549999,27.200001,21.450001,25.25,15909400,24.695742
2013-11-01,22.040001,25.49,21.60,23.48,12499100,22.964594
2013-10-01,18.98,23.16,18.98,21.969999,5729900,21.48774
2013-09-03,16.379999,19.48,16.110001,18.959999,4767200,18.543812
2013-08-01,19.440001,19.59,15.28,16.16,10282900,15.805274
2013-07-01,16.50,19.49,16.040001,19.35,5796800,18.925251
2013-06-03,17.540001,18.200001,15.59,16.42,5555400,16.059566
2013-05-01,16.91,19.700001,16.60,17.57,5964700,17.184324
2013-04-01,17.02,17.129999,15.03,16.90,7080700,16.52903
2013-03-01,13.37,17.43,13.32,16.969999,9774500,16.597494
2013-02-01,14.43,15.40,12.70,13.43,10502100,13.135201
2013-01-02,13.72,15.64,13.60,14.28,7273400,13.966541
2012-12-03,12.92,13.75,11.97,13.50,6033800,13.203664
2012-11-01,12.17,13.19,11.52,12.89,5673400,12.607054
2012-10-01,10.35,12.63,10.32,12.18,5937700,11.912639
2012-09-04,10.61,12.48,10.15,10.46,7506700,10.230394
2012-08-01,11.29,11.75,9.74,10.66,7750000,10.426003
2012-07-02,13.43,14.51,10.59,11.46,9704600,11.208444
2012-06-01,13.01,13.80,11.12,13.33,9702400,13.037395
2012-05-01,10.28,13.36,9.65,13.22,8990400,12.929811
2012-04-02,7.59,10.44,7.41,10.26,9529400,10.034784
2012-03-01,7.45,7.97,6.78,7.59,7458700,7.423393
2012-02-01,8.47,9.91,6.90,7.41,9548400,7.247344
2012-01-03,5.20,8.79,4.97,8.44,9690200,8.254734
2011-12-01,4.90,6.23,4.82,5.07,7432200,4.958709
2011-11-01,5.57,5.73,3.96,4.72,6743100,4.616392
2011-10-03,5.44,6.48,4.53,5.77,6761300,5.643343
2011-09-01,5.54,6.57,4.68,5.50,8440300,5.379271
